#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_DENS        VOLUME          
1000              1.00945527e+08  9.84833752e+07 -2.04494501e+05  8.97144175e+05  0.00000000e+00  1.76950198e+06  7.08230592e+05  4.83560985e+06  2.00467102e+09  1.01299581e+06  1.52114944e+03  9.14044338e+04
2000              8.28713997e+07  8.22790278e+07 -2.03631063e+05  1.01945835e+06  0.00000000e+00 -2.23455419e+05  5.34053899e+05  3.01120498e+06  1.56747729e+09  7.88339903e+05  1.51472668e+03  9.17922683e+04
3000              7.38613141e+07  7.36521620e+07 -2.02443554e+05  1.08260078e+06  0.00000000e+00 -6.71005058e+05  4.44375775e+05  2.65074345e+06  1.36733318e+09  6.83234075e+05  1.50589330e+03  9.23302512e+04
4000              6.51647129e+07  6.52712477e+07 -2.00644434e+05  1.14148567e+06  0.00000000e+00 -1.04737607e+06  3.55625128e+05  2.36017464e+06  1.24912683e+09  6.20983538e+05  1.49251040e+03  9.31590099e+04
5000              6.02890348e+07  6.06239999e+07 -1.99719557e+05  1.18820330e+06  0.00000000e+00 -1.32344881e+06  3.05159838e+05  2.13286804e+06  1.12196922e+09  5.52351830e+05  1.48563062e+03  9.35892487e+04
6000              5.59196372e+07  5.64411325e+07 -1.99206720e+05  1.23496114e+06  0.00000000e+00 -1.55724964e+06  2.45170989e+05  1.95732210e+06  1.05525088e+09  5.18865554e+05  1.48181584e+03  9.38302451e+04
7000              5.33640062e+07  5.39650344e+07 -1.98976873e+05  1.27009477e+06  0.00000000e+00 -1.67214617e+06  2.05522490e+05  1.88049646e+06  9.96389365e+08  4.88775144e+05  1.48010611e+03  9.39385604e+04
8000              5.13158487e+07  5.19852937e+07 -1.98862189e+05  1.31876848e+06  0.00000000e+00 -1.78935131e+06  1.58075837e+05  1.80829838e+06  9.64958664e+08  4.73100729e+05  1.47925302e+03  9.39927359e+04
9000              4.88497658e+07  4.96197492e+07 -1.98652261e+05  1.33508550e+06  0.00000000e+00 -1.90641660e+06  9.79833506e+04  1.75013457e+06  9.32018891e+08  4.56716002e+05  1.47769145e+03  9.40920699e+04
10000             4.64674600e+07  4.72845375e+07 -1.98561104e+05  1.35416157e+06  0.00000000e+00 -1.97267792e+06  5.07729803e+04  1.72986216e+06  8.93361294e+08  4.37329284e+05  1.47701338e+03  9.41352563e+04
