#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_DENS        VOLUME          
2500              9.15503179e+07  8.94882700e+07 -2.03473665e+05  9.89678257e+05  0.00000000e+00  1.27584329e+06  6.01878131e+05  4.44471019e+06  2.00485254e+09  1.01308655e+06  1.51355587e+03  9.18641407e+04
5000              6.63903093e+07  6.59210671e+07 -1.99539815e+05  1.17042349e+06  0.00000000e+00 -5.01641400e+05  3.19484302e+05  2.94189010e+06  1.36521080e+09  6.78050771e+05  1.48429360e+03  9.36789151e+04
7500              4.83805181e+07  4.83719592e+07 -1.93494126e+05  1.24420637e+06  0.00000000e+00 -1.04215334e+06  1.79657342e+05  2.53609663e+06  1.03363125e+09  5.02345423e+05  1.43932223e+03  9.66176150e+04
10000             3.52940772e+07  3.56055838e+07 -1.87787904e+05  1.30917625e+06  0.00000000e+00 -1.43289496e+06  9.93094544e+04  2.22102903e+06  7.61880373e+08  3.57243022e+05  1.39687602e+03  9.95383286e+04
12500             2.79507317e+07  2.86340743e+07 -1.85448038e+05  1.37605016e+06  0.00000000e+00 -1.87394466e+06  1.16674722e+04  1.86292365e+06  6.00286524e+08  2.76166552e+05  1.37947073e+03  1.00792356e+05
15000             2.29607703e+07  2.38205079e+07 -1.83309557e+05  1.41240982e+06  0.00000000e+00 -2.08883788e+06 -5.52167896e+04  1.71045211e+06  5.05028933e+08  2.29480481e+05  1.36356347e+03  1.01968142e+05
17500             1.97188082e+07  2.06519590e+07 -1.82418138e+05  1.43549080e+06  0.00000000e+00 -2.18622354e+06 -9.67299368e+04  1.65203499e+06  4.42868553e+08  1.99814827e+05  1.35693257e+03  1.02465815e+05
20000             1.67730883e+07  1.78315126e+07 -1.81309540e+05  1.44721051e+06  0.00000000e+00 -2.32432521e+06 -1.42163244e+05  1.55724674e+06  3.95249970e+08  1.77653152e+05  1.34868617e+03  1.03092554e+05
22500             1.42542550e+07  1.53713172e+07 -1.79896254e+05  1.47370123e+06  0.00000000e+00 -2.41086718e+06 -1.71575629e+05  1.49922913e+06  3.48067126e+08  1.55375945e+05  1.33817332e+03  1.03902770e+05
25000             1.10734765e+07  1.22737105e+07 -1.77060614e+05  1.48647112e+06  0.00000000e+00 -2.50964453e+06 -1.97098084e+05  1.42508569e+06  3.03423504e+08  1.34090383e+05  1.31708018e+03  1.05568744e+05
