#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_DENS        VOLUME          
2500              1.76881971e+07  1.73693675e+07 -9.62592754e+04  8.05853595e+05  0.00000000e+00 -3.90764676e+05 -9.61947844e+04  7.81775546e+05  6.86183360e+08  3.46923652e+05  1.04775723e+03  9.27007041e+04
5000              4.96951021e+06  5.01135906e+06 -9.43486694e+04  9.63765410e+05  0.00000000e+00 -9.11265598e+05 -2.99465298e+05  4.53887084e+05  1.80764914e+08  8.88909119e+04  1.02696078e+03  9.45718394e+04
7500              1.24627664e+06  1.38531257e+06 -9.32903810e+04  1.01805842e+06  0.00000000e+00 -1.06380397e+06 -3.80632117e+05  3.78015623e+05  7.85210162e+07  3.83505803e+04  1.01544158e+03  9.56446112e+04
10000             9.67930304e+03  2.21234895e+05 -9.22842065e+04  1.02755116e+06  0.00000000e+00 -1.14682254e+06 -4.29702799e+05  3.41511872e+05  4.51903137e+07  2.19863982e+04  1.00448963e+03  9.66875425e+04
12500            -7.15416516e+05 -4.39061377e+05 -9.10561424e+04  1.02007203e+06  0.00000000e+00 -1.20537103e+06 -4.68263626e+05  3.19654997e+05  2.90661469e+07  1.40866757e+04  9.91122473e+02  9.79923688e+04
