0 1.5258e+03
1000 1.4927e+03
2000 1.4729e+03
3000 1.4525e+03
4000 1.4216e+03
5000 1.4164e+03
6000 1.4052e+03
7000 1.3908e+03
8000 1.3846e+03
9000 1.3755e+03
10000 1.3647e+03
