#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_DENS        VOLUME          
1000              2.20596305e+07  2.12134092e+07 -1.05225018e+05  9.25961214e+05  0.00000000e+00  2.54850874e+04 -1.26900278e+04  7.83850412e+05  5.03618735e+08  2.54908628e+05  8.93697077e+02  9.15773564e+04
2000              1.61218041e+07  1.52851534e+07 -1.04106341e+05  1.05848192e+06  0.00000000e+00 -1.17724862e+05 -5.52473215e+04  6.79719020e+05  3.56776148e+08  1.78902576e+05  8.84195926e+02  9.25610844e+04
3000              1.18600810e+07  1.10213240e+07 -1.02999806e+05  1.15277861e+06  0.00000000e+00 -2.11021771e+05 -9.51653386e+04  6.23074162e+05  2.76543221e+08  1.37514736e+05  8.74797903e+02  9.35558016e+04
4000              9.35472611e+06  8.55140646e+06 -1.02248878e+05  1.22258890e+06  0.00000000e+00 -3.17020377e+05 -1.55254859e+05  5.74768451e+05  2.09257286e+08  1.02952562e+05  8.68420127e+02  9.42416742e+04
5000              8.01254016e+06  7.21870633e+06 -1.02032776e+05  1.26020947e+06  0.00000000e+00 -3.64342863e+05 -1.77883781e+05  5.48501787e+05  1.84270905e+08  9.04091002e+04  8.66584728e+02  9.44412106e+04
6000              6.92516219e+06  6.14089891e+06 -1.01840204e+05  1.29068516e+06  0.00000000e+00 -4.04581677e+05 -1.95743034e+05  5.25093796e+05  1.65300277e+08  8.10014094e+04  8.64949180e+02  9.46197661e+04
7000              5.97451672e+06  5.18814191e+06 -1.01749032e+05  1.31544598e+06  0.00000000e+00 -4.27322134e+05 -2.09737838e+05  5.15472592e+05  1.44476007e+08  7.07711632e+04  8.64174836e+02  9.47045133e+04
8000              5.31883457e+06  4.53108022e+06 -1.01664667e+05  1.33753850e+06  0.00000000e+00 -4.48119489e+05 -2.19611725e+05  5.03372507e+05  1.29258955e+08  6.33476104e+04  8.63458304e+02  9.47831209e+04
9000              4.70585241e+06  3.92492515e+06 -1.01523655e+05  1.35204896e+06  0.00000000e+00 -4.69598054e+05 -2.25756879e+05  4.86724541e+05  1.20034268e+08  5.87811275e+04  8.62260662e+02  9.49147727e+04
10000             4.09393870e+06  3.33344820e+06 -1.01381036e+05  1.35943900e+06  0.00000000e+00 -4.97567470e+05 -2.39220860e+05  4.71466629e+05  1.08562154e+08  5.31401191e+04  8.61049374e+02  9.50483053e+04
